state,date,total_cases,deaths
SP,2020-02-25,1,0
TOTAL,2020-02-25,1,0
SP,2020-02-26,1,0
TOTAL,2020-02-26,1,0
SP,2020-02-27,1,0
TOTAL,2020-02-27,1,0
SP,2020-02-28,2,0
TOTAL,2020-02-28,2,0
SP,2020-02-29,2,0
TOTAL,2020-02-29,2,0
SP,2020-03-01,2,0
TOTAL,2020-03-01,2,0
SP,2020-03-02,2,0
TOTAL,2020-03-02,2,0
SP,2020-03-03,2,0
TOTAL,2020-03-03,2,0
SP,2020-03-04,3,0
TOTAL,2020-03-04,3,0
RJ,2020-03-05,1,0
SP,2020-03-05,6,0
TOTAL,2020-03-05,7,0
BA,2020-03-06,1,0
ES,2020-03-06,1,0
RJ,2020-03-06,2,0
SP,2020-03-06,10,0
TOTAL,2020-03-06,14,0
BA,2020-03-07,2,0
DF,2020-03-07,1,0
ES,2020-03-07,1,0
RJ,2020-03-07,2,0
SP,2020-03-07,13,0
TOTAL,2020-03-07,19,0
AL,2020-03-08,1,0
BA,2020-03-08,2,0
DF,2020-03-08,1,0
ES,2020-03-08,1,0
MG,2020-03-08,1,0
RJ,2020-03-08,3,0
SP,2020-03-08,16,0
TOTAL,2020-03-08,25,0
AL,2020-03-09,1,0
BA,2020-03-09,2,0
DF,2020-03-09,1,0
ES,2020-03-09,1,0
MG,2020-03-09,1,0
RJ,2020-03-09,3,0
SP,2020-03-09,16,0
TOTAL,2020-03-09,25,0
AL,2020-03-10,1,0
BA,2020-03-10,2,0
DF,2020-03-10,1,0
ES,2020-03-10,1,0
MG,2020-03-10,1,0
RJ,2020-03-10,8,0
RS,2020-03-10,1,0
SP,2020-03-10,19,0
TOTAL,2020-03-10,34,0
AL,2020-03-11,1,0
BA,2020-03-11,3,0
DF,2020-03-11,2,0
ES,2020-03-11,1,0
MG,2020-03-11,1,0
RJ,2020-03-11,13,0
RS,2020-03-11,2,0
SP,2020-03-11,30,0
TOTAL,2020-03-11,53,0
AL,2020-03-12,1,0
BA,2020-03-12,3,0
DF,2020-03-12,2,0
ES,2020-03-12,1,0
GO,2020-03-12,3,0
MG,2020-03-12,2,0
PE,2020-03-12,2,0
PR,2020-03-12,6,0
RJ,2020-03-12,16,0
RN,2020-03-12,1,0
RS,2020-03-12,4,0
SC,2020-03-12,2,0
SP,2020-03-12,46,0
TOTAL,2020-03-12,89,0
AL,2020-03-13,1,0
AM,2020-03-13,2,0
BA,2020-03-13,7,0
DF,2020-03-13,2,0
ES,2020-03-13,1,0
GO,2020-03-13,3,0
MG,2020-03-13,2,0
PE,2020-03-13,2,0
PR,2020-03-13,6,0
RJ,2020-03-13,16,0
RN,2020-03-13,1,0
RS,2020-03-13,4,0
SC,2020-03-13,3,0
SP,2020-03-13,56,0
TOTAL,2020-03-13,106,0
AL,2020-03-14,1,0
AM,2020-03-14,2,0
BA,2020-03-14,7,0
DF,2020-03-14,8,0
ES,2020-03-14,1,0
GO,2020-03-14,4,0
MG,2020-03-14,4,0
MS,2020-03-14,2,0
PE,2020-03-14,7,0
PR,2020-03-14,6,0
RJ,2020-03-14,22,0
RN,2020-03-14,1,0
RS,2020-03-14,6,0
SC,2020-03-14,5,0
SE,2020-03-14,1,0
SP,2020-03-14,65,0
TOTAL,2020-03-14,142,0
AL,2020-03-15,1,0
AM,2020-03-15,2,0
BA,2020-03-15,9,0
DF,2020-03-15,14,0
ES,2020-03-15,1,0
GO,2020-03-15,4,0
MG,2020-03-15,4,0
MS,2020-03-15,2,0
PE,2020-03-15,8,0
PR,2020-03-15,6,0
RJ,2020-03-15,24,0
RN,2020-03-15,1,0
RS,2020-03-15,6,0
SC,2020-03-15,6,0
SE,2020-03-15,1,0
SP,2020-03-15,136,0
TOTAL,2020-03-15,225,0
AL,2020-03-16,1,0
AM,2020-03-16,2,0
BA,2020-03-16,10,0
CE,2020-03-16,9,0
DF,2020-03-16,19,0
ES,2020-03-16,1,0
GO,2020-03-16,9,0
MG,2020-03-16,6,0
MS,2020-03-16,4,0
PE,2020-03-16,8,0
PR,2020-03-16,6,0
RJ,2020-03-16,31,0
RN,2020-03-16,1,0
RS,2020-03-16,8,0
SC,2020-03-16,7,0
SE,2020-03-16,5,0
SP,2020-03-16,152,0
TOTAL,2020-03-16,279,0
AC,2020-03-17,3,0
AL,2020-03-17,1,0
AM,2020-03-17,2,0
BA,2020-03-17,14,0
CE,2020-03-17,10,0
DF,2020-03-17,22,0
ES,2020-03-17,1,0
GO,2020-03-17,10,0
MG,2020-03-17,14,0
MS,2020-03-17,6,0
PE,2020-03-17,18,0
PR,2020-03-17,12,0
RJ,2020-03-17,33,0
RN,2020-03-17,1,0
RS,2020-03-17,10,0
SC,2020-03-17,7,0
SE,2020-03-17,5,0
SP,2020-03-17,164,1
TOTAL,2020-03-17,333,1
AC,2020-03-18,3,0
AL,2020-03-18,1,0
AM,2020-03-18,2,0
BA,2020-03-18,27,0
CE,2020-03-18,19,0
DF,2020-03-18,34,0
ES,2020-03-18,9,0
GO,2020-03-18,12,0
MG,2020-03-18,19,0
MS,2020-03-18,7,0
PA,2020-03-18,1,0
PB,2020-03-18,1,0
PE,2020-03-18,19,0
PR,2020-03-18,15,0
RJ,2020-03-18,63,0
RN,2020-03-18,1,0
RS,2020-03-18,19,0
SC,2020-03-18,14,0
SE,2020-03-18,6,0
SP,2020-03-18,241,4
TO,2020-03-18,1,0
TOTAL,2020-03-18,514,4
AC,2020-03-19,4,0
AL,2020-03-19,4,0
AM,2020-03-19,3,0
BA,2020-03-19,31,0
CE,2020-03-19,24,0
DF,2020-03-19,42,0
ES,2020-03-19,13,0
GO,2020-03-19,15,0
MG,2020-03-19,29,0
MS,2020-03-19,9,0
PA,2020-03-19,1,0
PB,2020-03-19,1,0
PE,2020-03-19,28,0
PI,2020-03-19,3,0
PR,2020-03-19,24,0
RJ,2020-03-19,66,2
RN,2020-03-19,1,0
RS,2020-03-19,31,0
SC,2020-03-19,21,0
SE,2020-03-19,6,0
SP,2020-03-19,286,5
TO,2020-03-19,1,0
TOTAL,2020-03-19,643,7
AC,2020-03-20,7,0
AL,2020-03-20,6,0
AM,2020-03-20,7,0
AP,2020-03-20,1,0
BA,2020-03-20,34,0
CE,2020-03-20,68,0
DF,2020-03-20,87,0
ES,2020-03-20,16,0
GO,2020-03-20,18,0
MA,2020-03-20,1,0
MG,2020-03-20,38,0
MS,2020-03-20,12,0
MT,2020-03-20,1,0
PA,2020-03-20,2,0
PB,2020-03-20,1,0
PE,2020-03-20,31,0
PI,2020-03-20,4,0
PR,2020-03-20,37,0
RJ,2020-03-20,109,2
RN,2020-03-20,6,0
RO,2020-03-20,1,0
RS,2020-03-20,43,0
SC,2020-03-20,40,0
SE,2020-03-20,7,0
SP,2020-03-20,396,9
TO,2020-03-20,1,0
TOTAL,2020-03-20,974,11
AC,2020-03-21,11,0
AL,2020-03-21,7,0
AM,2020-03-21,11,0
AP,2020-03-21,1,0
BA,2020-03-21,41,0
CE,2020-03-21,84,0
DF,2020-03-21,108,0
ES,2020-03-21,26,0
GO,2020-03-21,20,0
MA,2020-03-21,2,0
MG,2020-03-21,55,0
MS,2020-03-21,16,0
MT,2020-03-21,2,0
PA,2020-03-21,2,0
PB,2020-03-21,1,0
PE,2020-03-21,33,0
PI,2020-03-21,4,0
PR,2020-03-21,44,0
RJ,2020-03-21,119,3
RN,2020-03-21,9,0
RO,2020-03-21,3,0
RR,2020-03-21,2,0
RS,2020-03-21,69,0
SC,2020-03-21,57,0
SE,2020-03-21,10,0
SP,2020-03-21,459,15
TO,2020-03-21,2,0
TOTAL,2020-03-21,1198,18
AC,2020-03-22,11,0
AL,2020-03-22,7,0
AM,2020-03-22,26,0
AP,2020-03-22,1,0
BA,2020-03-22,55,0
CE,2020-03-22,125,0
DF,2020-03-22,117,0
ES,2020-03-22,26,0
GO,2020-03-22,21,0
MA,2020-03-22,2,0
MG,2020-03-22,83,0
MS,2020-03-22,21,0
MT,2020-03-22,2,0
PA,2020-03-22,4,0
PB,2020-03-22,1,0
PE,2020-03-22,37,0
PI,2020-03-22,6,0
PR,2020-03-22,54,0
RJ,2020-03-22,186,3
RN,2020-03-22,13,0
RO,2020-03-22,3,0
RR,2020-03-22,2,0
RS,2020-03-22,77,0
SC,2020-03-22,68,0
SE,2020-03-22,10,0
SP,2020-03-22,631,22
TO,2020-03-22,5,0
TOTAL,2020-03-22,1594,25
AC,2020-03-23,17,0
AL,2020-03-23,8,0
AM,2020-03-23,32,0
AP,2020-03-23,1,0
BA,2020-03-23,63,0
CE,2020-03-23,164,0
DF,2020-03-23,138,0
ES,2020-03-23,33,0
GO,2020-03-23,23,0
MA,2020-03-23,8,0
MG,2020-03-23,128,0
MS,2020-03-23,21,0
MT,2020-03-23,6,0
PA,2020-03-23,5,0
PB,2020-03-23,2,0
PE,2020-03-23,42,0
PI,2020-03-23,6,0
PR,2020-03-23,60,0
RJ,2020-03-23,233,4
RN,2020-03-23,13,0
RO,2020-03-23,3,0
RR,2020-03-23,2,0
RS,2020-03-23,96,0
SC,2020-03-23,86,0
SE,2020-03-23,10,0
SP,2020-03-23,745,30
TO,2020-03-23,7,0
TOTAL,2020-03-23,1952,34
AC,2020-03-24,21,0
AL,2020-03-24,10,0
AM,2020-03-24,47,1
AP,2020-03-24,1,0
BA,2020-03-24,79,0
CE,2020-03-24,185,0
DF,2020-03-24,161,0
ES,2020-03-24,40,0
GO,2020-03-24,29,0
MA,2020-03-24,8,0
MG,2020-03-24,130,0
MS,2020-03-24,24,0
MT,2020-03-24,7,0
PA,2020-03-24,5,0
PB,2020-03-24,3,0
PE,2020-03-24,42,0
PI,2020-03-24,8,0
PR,2020-03-24,70,0
RJ,2020-03-24,305,6
RN,2020-03-24,14,0
RO,2020-03-24,5,0
RR,2020-03-24,8,0
RS,2020-03-24,112,0
SC,2020-03-24,109,0
SE,2020-03-24,15,0
SP,2020-03-24,810,40
TO,2020-03-24,7,0
TOTAL,2020-03-24,2255,47
AC,2020-03-25,23,0
AL,2020-03-25,11,0
AM,2020-03-25,54,1
AP,2020-03-25,2,0
BA,2020-03-25,91,0
CE,2020-03-25,211,0
DF,2020-03-25,195,0
ES,2020-03-25,40,0
GO,2020-03-25,35,0
MA,2020-03-25,8,0
MG,2020-03-25,133,0
MS,2020-03-25,24,0
MT,2020-03-25,9,0
PA,2020-03-25,7,0
PB,2020-03-25,5,0
PE,2020-03-25,46,1
PI,2020-03-25,9,0
PR,2020-03-25,97,0
RJ,2020-03-25,370,8
RN,2020-03-25,14,0
RO,2020-03-25,5,0
RR,2020-03-25,8,0
RS,2020-03-25,162,1
SC,2020-03-25,122,0
SE,2020-03-25,16,0
SP,2020-03-25,862,48
TO,2020-03-25,7,0
TOTAL,2020-03-25,2566,59
AC,2020-03-26,24,0
AL,2020-03-26,11,0
AM,2020-03-26,67,1
AP,2020-03-26,2,0
BA,2020-03-26,108,0
CE,2020-03-26,237,3
DF,2020-03-26,201,0
ES,2020-03-26,48,0
GO,2020-03-26,39,1
MA,2020-03-26,10,0
MG,2020-03-26,153,0
MS,2020-03-26,25,0
MT,2020-03-26,11,0
PA,2020-03-26,13,0
PB,2020-03-26,6,0
PE,2020-03-26,48,3
PI,2020-03-26,9,0
PR,2020-03-26,106,0
RJ,2020-03-26,421,9
RN,2020-03-26,19,0
RO,2020-03-26,6,0
RR,2020-03-26,10,0
RS,2020-03-26,190,1
SC,2020-03-26,149,1
SE,2020-03-26,16,0
SP,2020-03-26,1053,58
TO,2020-03-26,8,0
TOTAL,2020-03-26,2990,77
AC,2020-03-27,25,0
AL,2020-03-27,12,0
AM,2020-03-27,81,1
AP,2020-03-27,3,0
BA,2020-03-27,123,0
CE,2020-03-27,282,3
DF,2020-03-27,241,0
ES,2020-03-27,54,0
GO,2020-03-27,49,1
MA,2020-03-27,13,0
MG,2020-03-27,189,0
MS,2020-03-27,28,0
MT,2020-03-27,11,0
PA,2020-03-27,16,0
PB,2020-03-27,10,0
PE,2020-03-27,57,4
PI,2020-03-27,10,1
PR,2020-03-27,125,2
RJ,2020-03-27,493,10
RN,2020-03-27,28,0
RO,2020-03-27,6,0
RR,2020-03-27,12,0
RS,2020-03-27,197,2
SC,2020-03-27,163,1
SE,2020-03-27,16,0
SP,2020-03-27,1223,68
TO,2020-03-27,9,0
TOTAL,2020-03-27,3476,93
AC,2020-03-28,25,0
AL,2020-03-28,14,0
AM,2020-03-28,111,1
AP,2020-03-28,4,0
BA,2020-03-28,127,0
CE,2020-03-28,322,4
DF,2020-03-28,260,0
ES,2020-03-28,61,0
GO,2020-03-28,56,1
MA,2020-03-28,15,0
MG,2020-03-28,205,0
MS,2020-03-28,31,0
MT,2020-03-28,13,0
PA,2020-03-28,18,0
PB,2020-03-28,14,0
PE,2020-03-28,68,5
PI,2020-03-28,11,1
PR,2020-03-28,137,2
RJ,2020-03-28,558,13
RN,2020-03-28,68,1
RO,2020-03-28,6,0
RR,2020-03-28,16,0
RS,2020-03-28,200,2
SC,2020-03-28,184,1
SE,2020-03-28,16,0
SP,2020-03-28,1406,84
TO,2020-03-28,9,0
TOTAL,2020-03-28,3955,115
AC,2020-03-29,34,0
AL,2020-03-29,17,0
AM,2020-03-29,140,1
AP,2020-03-29,8,0
BA,2020-03-29,156,1
CE,2020-03-29,359,5
DF,2020-03-29,298,1
ES,2020-03-29,72,0
GO,2020-03-29,58,1
MA,2020-03-29,21,1
MG,2020-03-29,231,0
MS,2020-03-29,36,0
MT,2020-03-29,16,0
PA,2020-03-29,20,0
PB,2020-03-29,14,0
PE,2020-03-29,73,5
PI,2020-03-29,16,3
PR,2020-03-29,152,2
RJ,2020-03-29,600,17
RN,2020-03-29,68,1
RO,2020-03-29,6,0
RR,2020-03-29,16,0
RS,2020-03-29,230,2
SC,2020-03-29,197,1
SE,2020-03-29,16,0
SP,2020-03-29,1451,98
TO,2020-03-29,10,0
TOTAL,2020-03-29,4315,139
AC,2020-03-30,42,0
AL,2020-03-30,17,0
AM,2020-03-30,151,2
AP,2020-03-30,8,0
BA,2020-03-30,176,2
CE,2020-03-30,382,5
DF,2020-03-30,312,2
ES,2020-03-30,85,0
GO,2020-03-30,61,1
MA,2020-03-30,30,1
MG,2020-03-30,261,1
MS,2020-03-30,44,0
MT,2020-03-30,18,0
PA,2020-03-30,26,0
PB,2020-03-30,17,0
PE,2020-03-30,78,6
PI,2020-03-30,18,4
PR,2020-03-30,160,3
RJ,2020-03-30,657,18
RN,2020-03-30,77,1
RO,2020-03-30,8,1
RR,2020-03-30,16,0
RS,2020-03-30,254,4
SC,2020-03-30,219,2
SE,2020-03-30,18,0
SP,2020-03-30,1517,113
TO,2020-03-30,11,0
TOTAL,2020-03-30,4663,166
AC,2020-03-31,42,0
AL,2020-03-31,18,1
AM,2020-03-31,175,3
AP,2020-03-31,10,0
BA,2020-03-31,217,2
CE,2020-03-31,401,7
DF,2020-03-31,333,3
ES,2020-03-31,97,0
GO,2020-03-31,65,1
MA,2020-03-31,51,1
MG,2020-03-31,275,2
MS,2020-03-31,48,1
MT,2020-03-31,25,0
PA,2020-03-31,34,0
PB,2020-03-31,18,1
PE,2020-03-31,87,6
PI,2020-03-31,18,4
PR,2020-03-31,185,3
RJ,2020-03-31,708,23
RN,2020-03-31,82,1
RO,2020-03-31,9,1
RR,2020-03-31,16,0
RS,2020-03-31,305,4
SC,2020-03-31,235,2
SE,2020-03-31,19,0
SP,2020-03-31,2339,136
TO,2020-03-31,12,0
TOTAL,2020-03-31,5824,202
AC,2020-04-01,43,0
AL,2020-04-01,18,1
AM,2020-04-01,200,3
AP,2020-04-01,11,0
BA,2020-04-01,246,2
CE,2020-04-01,445,9
DF,2020-04-01,370,4
ES,2020-04-01,120,0
GO,2020-04-01,73,1
MA,2020-04-01,70,1
MG,2020-04-01,314,3
MS,2020-04-01,51,1
MT,2020-04-01,28,0
PA,2020-04-01,41,1
PB,2020-04-01,21,1
PE,2020-04-01,95,8
PI,2020-04-01,19,4
PR,2020-04-01,229,3
RJ,2020-04-01,832,28
RN,2020-04-01,92,2
RO,2020-04-01,9,1
RR,2020-04-01,26,0
RS,2020-04-01,316,5
SC,2020-04-01,247,2
SE,2020-04-01,22,0
SP,2020-04-01,2981,164
TO,2020-04-01,12,0
TOTAL,2020-04-01,6931,244
AC,2020-04-02,45,0
AL,2020-04-02,18,1
AM,2020-04-02,229,3
AP,2020-04-02,12,0
BA,2020-04-02,267,3
CE,2020-04-02,565,21
DF,2020-04-02,400,5
ES,2020-04-02,139,2
GO,2020-04-02,73,1
MA,2020-04-02,80,1
MG,2020-04-02,370,4
MS,2020-04-02,53,1
MT,2020-04-02,41,0
PA,2020-04-02,49,1
PB,2020-04-02,29,1
PE,2020-04-02,106,9
PI,2020-04-02,19,4
PR,2020-04-02,258,4
RJ,2020-04-02,992,41
RN,2020-04-02,106,2
RO,2020-04-02,10,1
RR,2020-04-02,30,0
RS,2020-04-02,386,5
SC,2020-04-02,281,5
SE,2020-04-02,24,2
SP,2020-04-02,3506,188
TO,2020-04-02,12,0
TOTAL,2020-04-02,8100,305
AC,2020-04-03,46,0
AL,2020-04-03,23,2
AM,2020-04-03,260,7
AP,2020-04-03,19,0
BA,2020-04-03,290,6
CE,2020-04-03,658,22
DF,2020-04-03,419,6
ES,2020-04-03,153,5
GO,2020-04-03,88,2
MA,2020-04-03,87,1
MG,2020-04-03,397,6
MS,2020-04-03,60,1
MT,2020-04-03,44,1
PA,2020-04-03,75,1
PB,2020-04-03,32,1
PE,2020-04-03,136,10
PI,2020-04-03,22,4
PR,2020-04-03,307,5
RJ,2020-04-03,1074,47
RN,2020-04-03,176,4
RO,2020-04-03,10,1
RR,2020-04-03,37,1
RS,2020-04-03,410,6
SC,2020-04-03,301,5
SE,2020-04-03,27,2
SP,2020-04-03,4048,219
TO,2020-04-03,13,0
TOTAL,2020-04-03,9212,365
AC,2020-04-04,46,0
AL,2020-04-04,23,2
AM,2020-04-04,311,12
AP,2020-04-04,29,1
BA,2020-04-04,336,7
CE,2020-04-04,745,23
DF,2020-04-04,456,7
ES,2020-04-04,166,6
GO,2020-04-04,103,2
MA,2020-04-04,95,2
MG,2020-04-04,430,6
MS,2020-04-04,62,1
MT,2020-04-04,60,1
PA,2020-04-04,82,1
PB,2020-04-04,34,3
PE,2020-04-04,176,14
PI,2020-04-04,24,4
PR,2020-04-04,401,7
RJ,2020-04-04,1246,58
RN,2020-04-04,215,6
RO,2020-04-04,11,1
RR,2020-04-04,42,1
RS,2020-04-04,418,7
SC,2020-04-04,356,10
SE,2020-04-04,32,3
SP,2020-04-04,4466,260
TO,2020-04-04,16,0
TOTAL,2020-04-04,10381,445
AC,2020-04-05,48,0
AL,2020-04-05,28,2
AM,2020-04-05,417,15
AP,2020-04-05,32,2
BA,2020-04-05,401,9
CE,2020-04-05,963,35
DF,2020-04-05,468,7
ES,2020-04-05,194,6
GO,2020-04-05,115,3
MA,2020-04-05,132,2
MG,2020-04-05,498,6
MS,2020-04-05,65,1
MT,2020-04-05,60,1
PA,2020-04-05,86,1
PB,2020-04-05,35,4
PE,2020-04-05,201,21
PI,2020-04-05,24,4
PR,2020-04-05,445,10
RJ,2020-04-05,1394,64
RN,2020-04-05,246,7
RO,2020-04-05,14,1
RR,2020-04-05,42,1
RS,2020-04-05,468,7
SC,2020-04-05,379,10
SE,2020-04-05,32,3
SP,2020-04-05,4620,275
TO,2020-04-05,17,0
TOTAL,2020-04-05,11424,497
AC,2020-04-06,50,1
AL,2020-04-06,31,2
AM,2020-04-06,532,19
AP,2020-04-06,39,2
BA,2020-04-06,437,10
CE,2020-04-06,1046,36
DF,2020-04-06,485,10
ES,2020-04-06,209,6
GO,2020-04-06,119,5
MA,2020-04-06,171,4
MG,2020-04-06,525,9
MS,2020-04-06,66,1
MT,2020-04-06,76,1
PA,2020-04-06,123,5
PB,2020-04-06,36,4
PE,2020-04-06,223,30
PI,2020-04-06,26,4
PR,2020-04-06,466,14
RJ,2020-04-06,1461,71
RN,2020-04-06,246,7
RO,2020-04-06,18,1
RR,2020-04-06,42,1
RS,2020-04-06,501,8
SC,2020-04-06,417,11
SE,2020-04-06,32,4
SP,2020-04-06,4866,304
TO,2020-04-06,19,0
TOTAL,2020-04-06,12262,570
AC,2020-04-07,50,2
AL,2020-04-07,34,2
AM,2020-04-07,636,23
AP,2020-04-07,51,2
BA,2020-04-07,462,14
CE,2020-04-07,1189,40
DF,2020-04-07,503,12
ES,2020-04-07,227,6
GO,2020-04-07,133,5
MA,2020-04-07,229,11
MG,2020-04-07,559,11
MS,2020-04-07,80,2
MT,2020-04-07,78,1
PA,2020-04-07,154,5
PB,2020-04-07,41,4
PE,2020-04-07,352,34
PI,2020-04-07,31,5
PR,2020-04-07,511,15
RJ,2020-04-07,1688,89
RN,2020-04-07,254,8
RO,2020-04-07,23,1
RR,2020-04-07,49,1
RS,2020-04-07,555,8
SC,2020-04-07,457,15
SE,2020-04-07,36,4
SP,2020-04-07,5682,371
TO,2020-04-07,19,0
TOTAL,2020-04-07,14083,691
AC,2020-04-08,58,2
AL,2020-04-08,37,3
AM,2020-04-08,804,30
AP,2020-04-08,107,2
BA,2020-04-08,515,18
CE,2020-04-08,1394,57
DF,2020-04-08,509,12
ES,2020-04-08,273,6
GO,2020-04-08,159,7
MA,2020-04-08,272,12
MG,2020-04-08,614,14
MS,2020-04-08,85,2
MT,2020-04-08,90,1
PA,2020-04-08,167,6
PB,2020-04-08,55,7
PE,2020-04-08,401,46
PI,2020-04-08,38,6
PR,2020-04-08,550,17
RJ,2020-04-08,1938,106
RN,2020-04-08,262,11
RO,2020-04-08,26,1
RR,2020-04-08,52,1
RS,2020-04-08,581,10
SC,2020-04-08,501,17
SE,2020-04-08,39,4
SP,2020-04-08,6708,428
TO,2020-04-08,23,0
TOTAL,2020-04-08,16258,826
AC,2020-04-09,62,2
AL,2020-04-09,37,3
AM,2020-04-09,899,40
AP,2020-04-09,128,2
BA,2020-04-09,568,19
CE,2020-04-09,1445,57
DF,2020-04-09,527,13
ES,2020-04-09,300,7
GO,2020-04-09,179,7
MA,2020-04-09,293,16
MG,2020-04-09,655,15
MS,2020-04-09,89,2
MT,2020-04-09,108,2
PA,2020-04-09,169,7
PB,2020-04-09,79,11
PE,2020-04-09,555,56
PI,2020-04-09,40,7
PR,2020-04-09,621,24
RJ,2020-04-09,2216,122
RN,2020-04-09,262,11
RO,2020-04-09,28,2
RR,2020-04-09,63,2
RS,2020-04-09,636,14
SC,2020-04-09,693,18
SE,2020-04-09,40,4
SP,2020-04-09,7480,496
TO,2020-04-09,23,0
TOTAL,2020-04-09,18195,959
AC,2020-04-10,70,2
AL,2020-04-10,45,3
AM,2020-04-10,981,50
AP,2020-04-10,166,2
BA,2020-04-10,616,19
CE,2020-04-10,1558,67
DF,2020-04-10,556,14
ES,2020-04-10,349,8
GO,2020-04-10,191,8
MA,2020-04-10,344,21
MG,2020-04-10,698,17
MS,2020-04-10,97,2
MT,2020-04-10,112,2
PA,2020-04-10,217,9
PB,2020-04-10,85,11
PE,2020-04-10,684,65
PI,2020-04-10,41,7
PR,2020-04-10,655,26
RJ,2020-04-10,2464,147
RN,2020-04-10,263,11
RO,2020-04-10,32,2
RR,2020-04-10,75,3
RS,2020-04-10,640,15
SC,2020-04-10,717,18
SE,2020-04-10,42,4
SP,2020-04-10,8216,540
TO,2020-04-10,23,0
TOTAL,2020-04-10,19937,1073
AC,2020-04-11,72,2
AL,2020-04-11,48,3
AM,2020-04-11,1050,53
AP,2020-04-11,193,5
BA,2020-04-11,640,21
CE,2020-04-11,1668,74
DF,2020-04-11,592,14
ES,2020-04-11,383,9
GO,2020-04-11,209,10
MA,2020-04-11,398,24
MG,2020-04-11,750,17
MS,2020-04-11,100,2
MT,2020-04-11,121,3
PA,2020-04-11,237,11
PB,2020-04-11,101,13
PE,2020-04-11,816,72
PI,2020-04-11,44,7
PR,2020-04-11,688,27
RJ,2020-04-11,2607,155
RN,2020-04-11,289,13
RO,2020-04-11,34,2
RR,2020-04-11,79,3
RS,2020-04-11,653,16
SC,2020-04-11,732,21
SE,2020-04-11,44,4
SP,2020-04-11,8419,560
TO,2020-04-11,25,0
TOTAL,2020-04-11,20992,1141
AC,2020-04-12,77,2
AL,2020-04-12,48,3
AM,2020-04-12,1206,62
AP,2020-04-12,237,5
BA,2020-04-12,674,21
CE,2020-04-12,1747,76
DF,2020-04-12,618,14
ES,2020-04-12,430,14
GO,2020-04-12,229,14
MA,2020-04-12,445,27
MG,2020-04-12,806,20
MS,2020-04-12,101,2
MT,2020-04-12,123,3
PA,2020-04-12,259,14
PB,2020-04-12,111,13
PE,2020-04-12,960,85
PI,2020-04-12,51,7
PR,2020-04-12,750,31
RJ,2020-04-12,2855,170
RN,2020-04-12,339,17
RO,2020-04-12,42,2
RR,2020-04-12,83,3
RS,2020-04-12,664,16
SC,2020-04-12,776,24
SE,2020-04-12,44,4
SP,2020-04-12,8755,588
TO,2020-04-12,26,0
TOTAL,2020-04-12,22456,1237
AC,2020-04-13,90,3
AL,2020-04-13,58,4
AM,2020-04-13,1275,71
AP,2020-04-13,244,6
BA,2020-04-13,723,22
CE,2020-04-13,1936,101
DF,2020-04-13,641,15
ES,2020-04-13,463,17
GO,2020-04-13,233,15
MA,2020-04-13,478,32
MG,2020-04-13,815,23
MS,2020-04-13,113,4
MT,2020-04-13,134,4
PA,2020-04-13,310,15
PB,2020-04-13,136,16
PE,2020-04-13,1154,102
PI,2020-04-13,58,8
PR,2020-04-13,768,33
RJ,2020-04-13,3231,188
RN,2020-04-13,376,18
RO,2020-04-13,42,2
RR,2020-04-13,113,3
RS,2020-04-13,685,17
SC,2020-04-13,826,26
SE,2020-04-13,45,4
SP,2020-04-13,8895,608
TO,2020-04-13,26,0
TOTAL,2020-04-13,23868,1357
AC,2020-04-14,99,3
AL,2020-04-14,72,4
AM,2020-04-14,1484,90
AP,2020-04-14,308,7
BA,2020-04-14,776,26
CE,2020-04-14,2072,111
DF,2020-04-14,651,17
ES,2020-04-14,557,18
GO,2020-04-14,284,15
MA,2020-04-14,630,34
MG,2020-04-14,884,27
MS,2020-04-14,115,4
MT,2020-04-14,138,4
PA,2020-04-14,384,21
PB,2020-04-14,152,21
PE,2020-04-14,1284,115
PI,2020-04-14,75,8
PR,2020-04-14,803,39
RJ,2020-04-14,3410,224
RN,2020-04-14,399,19
RO,2020-04-14,69,2
RR,2020-04-14,114,3
RS,2020-04-14,720,18
SC,2020-04-14,853,28
SE,2020-04-14,46,4
SP,2020-04-14,9371,695
TO,2020-04-14,27,0
TOTAL,2020-04-14,25777,1557
AC,2020-04-15,101,4
AL,2020-04-15,83,5
AM,2020-04-15,1554,106
AP,2020-04-15,342,7
BA,2020-04-15,884,28
CE,2020-04-15,2292,124
DF,2020-04-15,688,17
ES,2020-04-15,734,21
GO,2020-04-15,304,15
MA,2020-04-15,695,37
MG,2020-04-15,903,30
MS,2020-04-15,121,4
MT,2020-04-15,151,4
PA,2020-04-15,487,21
PB,2020-04-15,165,24
PE,2020-04-15,1484,143
PI,2020-04-15,91,8
PR,2020-04-15,816,41
RJ,2020-04-15,3743,265
RN,2020-04-15,400,20
RO,2020-04-15,73,2
RR,2020-04-15,142,3
RS,2020-04-15,762,19
SC,2020-04-15,884,29
SE,2020-04-15,48,4
SP,2020-04-15,11043,778
TO,2020-04-15,29,1
TOTAL,2020-04-15,29019,1760
AC,2020-04-16,115,5
AL,2020-04-16,89,5
AM,2020-04-16,1719,124
AP,2020-04-16,362,10
BA,2020-04-16,967,34
CE,2020-04-16,2412,135
DF,2020-04-16,727,20
ES,2020-04-16,935,28
GO,2020-04-16,318,16
MA,2020-04-16,797,40
MG,2020-04-16,958,33
MS,2020-04-16,131,5
MT,2020-04-16,156,5
